Users,Price,Economy,TVTNum,InvestorTVT,InvestorPerc,InvestorSell,InvestorReturn,InvestorPercReturn,Bond
34162,0.008756674882969469,913150260.0,104280480000.0,1658654301.329,1658654301.329,139374.56198967752,17172976.692069452,2.4345953384138905,0.0
34935,0.008683458303989394,905515200.0,104280480000.0,1642067758.31571,1642067758.31571,136827.12693006822,17044334.270682395,2.408866854136479,0.0
37167,0.009526940324785616,993473910.0,104280480000.0,1625647080.732553,1625647080.732553,148616.87465591813,18421566.960979488,2.6843133921958975,0.0
39074,0.010015757695016364,1044448020.0,104280480000.0,1609390609.9252274,1609390609.9252274,154679.82895316626,19208070.448277354,2.841614089655471,0.0
40720,0.010332242429263847,1077451200.0,104280480000.0,1593296703.825975,1593296703.825975,157971.8324787203,19709103.70078737,2.941820740157474,0.0
42254,0.010612074858113427,1106632260.0,104280480000.0,1577363736.7877152,1577363736.7877152,160627.74697577287,20146505.69535093,3.029301139070186,0.0
45524,0.011904811715481172,1241439480.0,104280480000.0,1561590099.419838,1561590099.419838,178393.0737862138,22176232.82622508,3.435246565245016,0.0
45890,0.012000523012552302,1251420300.0,104280480000.0,1545974198.4256396,1545974198.4256396,178029.03028048456,22316324.69117186,3.4632649382343716,0.0
47505,0.012299857077757985,1282635000.0,104280480000.0,1530514456.4413834,1530514456.4413834,180644.98602209837,22769579.80184643,3.553915960369286,0.0
50511,0.013078161895687477,1363797000.0,104280480000.0,1515209311.8769696,1515209311.8769696,190155.00052778944,23950778.419282984,3.7901556838565966,0.0
50577,0.01230953539914661,1283644260.0,104280480000.0,1500057218.7581997,1500057218.7581997,177189.46528583046,22776822.63303806,3.5553645266076117,0.0
51780,0.01327266042503832,1384079400.0,104280480000.0,1485056646.5706177,1485056646.5706177,189142.62578569778,24211610.40565224,3.842322081130448,0.0
52773,0.013253917415800157,1382124870.0,104280480000.0,1470206080.1049116,1470206080.1049116,186986.77243860398,24173934.566130657,3.8347869132261314,0.0
53468,0.013151590786693732,1371454200.0,104280480000.0,1455504019.3038623,1455504019.3038623,183687.71300766565,24013825.559492927,3.8027651118985855,0.0
56428,0.014464072662496375,1508320440.0,104280480000.0,1440948979.1108236,1440948979.1108236,199998.9010097837,25913621.947039265,4.182724389407853,0.0
56557,0.01435070321885745,1496498220.0,104280480000.0,1426539489.3197153,1426539489.3197153,196446.99595098483,25739923.047389027,4.147984609477805,0.0
56884,0.014728240606487426,1535868000.0,104280480000.0,1412274094.4265182,1412274094.4265182,199598.9599168851,26267989.83112111,4.253597966224222,0.0
61206,0.007,1619510760.0,231358680000.0,5210497353.482253,0.022521296168711947,208364.3494346539,42149522.989908636,7.429904597981727,0.0
62250,0.007337340876944837,1697557500.0,231358680000.0,5158392379.947431,5158392379.947431,363196.3545987227,43888121.13884063,7.7776242277681265,0.0
65880,0.007611438654473651,1760972400.0,231358680000.0,5106808456.147957,5106808456.147957,372996.477978901,45282393.63222796,8.056478726445592,0.0
66798,0.007873408769448373,1821581460.0,231358680000.0,5055740371.586477,5055740371.586477,381975.9095840201,46600120.83539765,8.32002416707953,0.0
68399,0.007902471046255969,1828305270.0,231358680000.0,5005182967.870613,5005182967.870613,379551.99808656605,46727075.74059211,8.345415148118422,0.0
69165,0.0080716876496702,1867455000.0,231358680000.0,4955131138.191907,4955131138.191907,383802.5986879585,47553835.66510889,8.510767133021778,0.0
69545,0.008197194719471947,1896492150.0,231358680000.0,4905579826.809988,4905579826.809988,385872.66060263704,48155430.56734661,8.631086113469323,0.0
70727,0.008006356753072761,1852340130.0,231358680000.0,4856524028.541888,4856524028.541888,373120.31065411697,47199621.778102264,8.439924355620454,0.0
71577,0.007851982298654194,1816624260.0,231358680000.0,4807958788.256469,4807958788.256469,362266.7366984511,46430831.860472895,8.286166372094579,0.0
